category,id,store
apparelOnline,56d1cc2b480cf02f0f888d51,VictoriasSecret.com
sportingGoodsOnline,56d1cc2b480cf02f0f888d52,academy.com
generalMerchandiseOnline,56d1cc2b480cf02f0f888d53,Costco.com
homeGoodsOnline,56d1cc2b480cf02f0f888d54,restorationhardware.com
fastFood,56d1cc2b480cf02f0f888d55,burgerfi
fastFood,56d1cc2b480cf02f0f888d56,flame broiler
fastFood,56d1cc2b480cf02f0f888d57,chicken express
fastFood,56d1cc2b480cf02f0f888d58,krispy kreme
generalMerchandiseOnline,56d1cc2b480cf02f0f888d59,QVC.com
fastFood,56d1cc2b480cf02f0f888d5a,noodles company
apparelOnline,56d1cc2b480cf02f0f888d5b,modcloth.com
homeGoodsOnline,56d1cc2c480cf02f0f888d5c,BedBathandBeyond.com
homeGoodsOnline,56d1cc2c480cf02f0f888d5d,surlatable.com
apparelOnline,56d1cc2c480cf02f0f888d5e,WomanWithin.com
fastFood,56d1cc2c480cf02f0f888d5f,wawa
apparel,56d1cc2c480cf02f0f888d60,
apparel,56d1cc2c480cf02f0f888d61,
fastFood,56d1cc2c480cf02f0f888d62,mcdonalds
fastFood,56d1cc2c480cf02f0f888d63,burger 21
fastFood,56d1cc2c480cf02f0f888d64,penn station
apparel,56d1cc2c480cf02f0f888d65,
fastFood,56d1cc2c480cf02f0f888d66,auntie annes
fastFood,56d1cc2c480cf02f0f888d67,moes
sportingGoodsOnline,56d1cc2c480cf02f0f888d68,roadrunnersports.com
fastFood,56d1cc2c480cf02f0f888d69,pita pit
fastFood,56d1cc2c480cf02f0f888d6a,pizza hut
apparelOnline,56d1cc2c480cf02f0f888d6b,shopbop.com
fastFood,56d1cc2c480cf02f0f888d6c,little caesars
fastFood,56d1cc2c480cf02f0f888d6d,smoothie king
fastFood,56d1cc2c480cf02f0f888d6e,nothing bundt cakes
apparelOnline,56d1cc2c480cf02f0f888d6f,Roamans.com
generalMerchandiseOnline,56d1cc2c480cf02f0f888d70,Overstock.com
apparelOnline,56d1cc2c480cf02f0f888d71,Macys.com
fastFood,56d1cc2c480cf02f0f888d72,pie five
fastFood,56d1cc2d480cf02f0f888d73,lees famous recipe chicken
fastFood,56d1cc2d480cf02f0f888d74,mcalisters deli
fastFood,56d1cc2d480cf02f0f888d75,pizza ranch
fastFood,56d1cc2d480cf02f0f888d76,fuddruckers
fastFood,56d1cc2d480cf02f0f888d77,chipotle
fastFood,56d1cc2d480cf02f0f888d78,pinkberry
apparel,56d1cc2d480cf02f0f888d79,
apparel,56d1cc2d480cf02f0f888d7a,
fastFood,56d1cc2d480cf02f0f888d7b,costa vida
fastFood,56d1cc2d480cf02f0f888d7c,sonic
homeGoodsOnline,56d1cc2d480cf02f0f888d7d,containerstore.com
homeGoodsOnline,56d1cc2d480cf02f0f888d7e,100bulbs.com
fastFood,56d1cc2d480cf02f0f888d7f,bojangles
apparelOnline,56d1cc2d480cf02f0f888d80,Hot Topic.com
apparelOnline,56d1cc2d480cf02f0f888d81,mango.com
fastFood,56d1cc2d480cf02f0f888d82,caribou coffee
hardware,56d1cc2d480cf02f0f888d83,Lowes.com
apparelOnline,56d1cc2e480cf02f0f888d84,OneStopPlus.com
fastFood,56d1cc2e480cf02f0f888d85,fatburger
homeGoodsOnline,56d1cc2e480cf02f0f888d86,replacements.com
fastFood,56d1cc2e480cf02f0f888d87,project pie
apparelOnline,56d1cc2e480cf02f0f888d88,hottopic.com
apparel,56d1cc2e480cf02f0f888d89,
fastFood,56d1cc2f480cf02f0f888d8a,pizza patron
fastFood,56d1cc2f480cf02f0f888d8b,biggby coffee
sportingGoodsOnline,56d1cc2f480cf02f0f888d8c,zumiez.com
fastFood,56d1cc2f480cf02f0f888d8d,boston market
electronicsOnline,56d1cc2f480cf02f0f888d8e,anker.com
generalMerchandiseOnline,56d1cc2f480cf02f0f888d8f,SamsClub.com
fastFood,56d1cc2f480cf02f0f888d90,tcby
apparelOnline,56d1cc2f480cf02f0f888d91,RossStores.com
apparelOnline,56d1cc2f480cf02f0f888d92,sierratradingpost.com
apparel,56d1cc2f480cf02f0f888d93,
fastFood,56d1cc2f480cf02f0f888d94,burgerville
electronicsOnline,56d1cc2f480cf02f0f888d95,TigerDirect.com
fastFood,56d1cc2f480cf02f0f888d96,wingstop
fastFood,56d1cc2f480cf02f0f888d97,chick fil a
fastFood,56d1cc2f480cf02f0f888d98,jamba juice
fastFood,56d1cc2f480cf02f0f888d99,baskin robbins
sportingGoodsOnline,56d1cc2f480cf02f0f888d9a,underarmour.com
apparelOnline,56d1cc2f480cf02f0f888d9b,finishline.com
apparelOnline,56d1cc30480cf02f0f888d9c,Kohls.com
fastFood,56d1cc30480cf02f0f888d9d,foxs pizza
fastFood,56d1cc30480cf02f0f888d9e,subway
fastFood,56d1cc30480cf02f0f888d9f,jimmy johns
electronicsOnline,56d1cc30480cf02f0f888da0,Newegg.com
apparel,56d1cc30480cf02f0f888da1,
fastFood,56d1cc30480cf02f0f888da2,papa johns
fastFood,56d1cc30480cf02f0f888da3,red mango
apparel,56d1cc30480cf02f0f888da4,
fastFood,56d1cc30480cf02f0f888da5,raising canes
sportingGoodsOnline,56d1cc30480cf02f0f888da6,fanatics.com
fastFood,56d1cc30480cf02f0f888da7,cinnabon
sportingGoodsOnline,56d1cc30480cf02f0f888da8,lululemon.com
fastFood,56d1cc30480cf02f0f888da9,taco bueno
sportingGoodsOnline,56d1cc30480cf02f0f888daa,newbalance.com
fastFood,56d1cc30480cf02f0f888dab,bahama bucks
fastFood,56d1cc30480cf02f0f888dac,cosi
fastFood,56d1cc30480cf02f0f888dad,whataburger
fastFood,56d1cc30480cf02f0f888dae,rubios
fastFood,56d1cc30480cf02f0f888daf,quiznos
fastFood,56d1cc30480cf02f0f888db0,qdoba
fastFood,56d1cc30480cf02f0f888db1,in n out
electronicsOnline,56d1cc30480cf02f0f888db2,Techbargains.com
fastFood,56d1cc30480cf02f0f888db3,pizza factory
sportingGoodsOnline,56d1cc31480cf02f0f888db4,adidas.com
electronicsOnline,56d1cc31480cf02f0f888db5,Siriusxm.com
homeGoodsOnline,56d1cc31480cf02f0f888db6,Williams-sonoma.com
homeGoodsOnline,56d1cc31480cf02f0f888db7,kirklands.com
apparel,56d1cc31480cf02f0f888db8,
fastFood,56d1cc31480cf02f0f888db9,potbelly
apparel,56d1cc31480cf02f0f888dba,
fastFood,56d1cc31480cf02f0f888dbb,checkers rallys
fastFood,56d1cc31480cf02f0f888dbc,white castle
apparelOnline,56d1cc31480cf02f0f888dbd,Haband.com
fastFood,56d1cc31480cf02f0f888dbe,tutti frutti
fastFood,56d1cc31480cf02f0f888dbf,godfathers pizza
apparel,56d1cc31480cf02f0f888dc0,
fastFood,56d1cc31480cf02f0f888dc1,wendys
homeGoodsOnline,56d1cc31480cf02f0f888dc2,potterybarn.com
homeGoodsOnline,56d1cc31480cf02f0f888dc3,homedecorators.com
electronicsOnline,56d1cc31480cf02f0f888dc4,mobikwik.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc5,sportsauthority.com
apparelOnline,56d1cc31480cf02f0f888dc6,6pm.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc7,summitracing.com
generalMerchandiseOnline,56d1cc31480cf02f0f888dc8,Amazon.com
sportingGoodsOnline,56d1cc31480cf02f0f888dc9,Dickssportinggoods.com
fastFood,56d1cc31480cf02f0f888dca,marble slab creamery
apparel,56d1cc32480cf02f0f888dcb,
apparel,56d1cc32480cf02f0f888dcc,
fastFood,56d1cc32480cf02f0f888dcd,papa murphys
homeGoodsOnline,56d1cc32480cf02f0f888dce,westelm.com
fastFood,56d1cc32480cf02f0f888dcf,cold stone creamery
apparelOnline,56d1cc32480cf02f0f888dd0,BananaRepublic.com
hardware,56d1cc32480cf02f0f888dd1,HomeDepot.com
electronicsOnline,56d1cc32480cf02f0f888dd2,Parts-express.com
apparelOnline,56d1cc32480cf02f0f888dd3,Forever21.com
apparelOnline,56d1cc32480cf02f0f888dd4,OldNavy.com
fastFood,56d1cc32480cf02f0f888dd5,dairy queen
fastFood,56d1cc32480cf02f0f888dd6,donatos pizza
fastFood,56d1cc32480cf02f0f888dd7,mountain mikes pizza
fastFood,56d1cc32480cf02f0f888dd8,blimpie
apparel,56d1cc32480cf02f0f888dd9,
electronicsOnline,56d1cc32480cf02f0f888dda,hhgregg.com
fastFood,56d1cc32480cf02f0f888ddb,braums
apparel,56d1cc32480cf02f0f888ddc,
fastFood,56d1cc32480cf02f0f888ddd,zoup
fastFood,56d1cc32480cf02f0f888dde,firehouse subs
fastFood,56d1cc32480cf02f0f888ddf,waba grill
fastFood,56d1cc33480cf02f0f888de0,golden chick
apparel,56d1cc33480cf02f0f888de1,
homeGoodsOnline,56d1cc33480cf02f0f888de2,hayneedle.com
fastFood,56d1cc33480cf02f0f888de3,pieology
apparelOnline,56d1cc33480cf02f0f888de4,Blair.com
fastFood,56d1cc33480cf02f0f888de5,hungry howies
electronicsOnline,56d1cc33480cf02f0f888de6,BestBuy.com
fastFood,56d1cc33480cf02f0f888de7,lyfe kitchen
fastFood,56d1cc33480cf02f0f888de8,planet smoothie
fastFood,56d1cc33480cf02f0f888de9,brusters
fastFood,56d1cc33480cf02f0f888dea,sub zero ice cream
sportingGoodsOnline,56d1cc33480cf02f0f888deb,evo.com
apparelOnline,56d1cc33480cf02f0f888dec,Hollisterco.com
fastFood,56d1cc33480cf02f0f888ded,fazolis
fastFood,56d1cc33480cf02f0f888dee,pdq
fastFood,56d1cc33480cf02f0f888def,jack in the box
apparel,56d1cc33480cf02f0f888df0,
electronicsOnline,56d1cc33480cf02f0f888df1,monoprice.com
fastFood,56d1cc33480cf02f0f888df2,primo hoagies
fastFood,56d1cc33480cf02f0f888df3,ben jerrys
apparelOnline,56d1cc33480cf02f0f888df4,Aeropostale.com
homeGoodsOnline,56d1cc33480cf02f0f888df5,lowes.com
fastFood,56d1cc33480cf02f0f888df6,popeyes
fastFood,56d1cc34480cf02f0f888df7,saladworks
sportingGoodsOnline,56d1cc34480cf02f0f888df8,performancebike.com
electronicsOnline,56d1cc34480cf02f0f888df9,sony.com
apparelOnline,56d1cc34480cf02f0f888dfa,ralphlauren.com
apparel,56d1cc34480cf02f0f888dfb,
fastFood,56d1cc34480cf02f0f888dfc,corner bakery
fastFood,56d1cc34480cf02f0f888dfd,taco johns
fastFood,56d1cc34480cf02f0f888dfe,jets pizza
apparelOnline,56d1cc34480cf02f0f888dff,Gap.com
electronicsOnline,56d1cc34480cf02f0f888e00,cricketwireless.com
apparel,56d1cc34480cf02f0f888e01,
fastFood,56d1cc34480cf02f0f888e02,pizza inn
fastFood,56d1cc34480cf02f0f888e03,jersey mikes subs
apparel,56d1cc34480cf02f0f888e04,
fastFood,56d1cc34480cf02f0f888e05,kfc
fastFood,56d1cc34480cf02f0f888e06,wienerschnitzel
electronicsOnline,56d1cc34480cf02f0f888e07,Sky.com
fastFood,56d1cc34480cf02f0f888e08,the habit burger
generalMerchandiseOnline,56d1cc34480cf02f0f888e09,TJMaxx.com
fastFood,56d1cc34480cf02f0f888e0a,capriottis
generalMerchandiseOnline,56d1cc35480cf02f0f888e0b,Meijer.com
